Date,Temp_Max_C,Temp_Mean_C,Precip_mm,Source
2026-07-10,31.9,27.7,6.5,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-11,31.9,28.5,3.4,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-12,32.9,29.0,2.6,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-13,33.1,29.0,2.2,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-14,34.3,29.4,0.5,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-15,33.2,29.3,2.9,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-16,32.4,29.1,3.7,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-17,32.5,29.0,2.4,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-18,34.0,30.1,1.8,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-19,31.7,27.8,13.8,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-20,31.9,28.2,1.2,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-21,30.1,27.7,15.8,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-22,32.1,28.6,2.4,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-23,31.7,27.4,5.4,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-24,31.2,27.3,5.3,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-25,32.4,28.3,2.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-26,34.0,29.8,0.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-27,32.5,28.5,8.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-28,30.0,27.2,12.3,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-29,31.6,27.4,5.9,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-30,30.4,26.5,11.0,Open-Meteo ERA5 Reanalysis (ECMWF)
2026-07-31,29.8,26.5,13.2,Open-Meteo ERA5 Reanalysis (ECMWF)
